or_del_country	date(or_date_acquire)
DE	25.10.2016
NL	25.10.2016
NL	25.10.2016
DE	25.10.2016
DE	25.10.2016
SE	25.10.2016
DE	25.10.2016
DE	25.10.2016
SE	25.10.2016
NL	25.10.2016
ES	25.10.2016
DE	25.10.2016
DK	25.10.2016
FI	25.10.2016
SE	25.10.2016
AT	25.10.2016
DE	25.10.2016
DE	25.10.2016
DE	25.10.2016
IS	25.10.2016
DE	25.10.2016
ES	25.10.2016
DE	25.10.2016
ES	25.10.2016
DE	25.10.2016
DE	25.10.2016
HR	25.10.2016
DE	25.10.2016
DE	25.10.2016
BE	25.10.2016
BE	25.10.2016
DE	25.10.2016
DE	25.10.2016
DE	25.10.2016
DE	25.10.2016
SE	25.10.2016
DE	25.10.2016
DE	25.10.2016
DE	25.10.2016
SI	25.10.2016
DE	25.10.2016
DE	25.10.2016
CH	25.10.2016
CH	25.10.2016
DE	25.10.2016
DE	25.10.2016
DE	25.10.2016
DE	25.10.2016
FR	25.10.2016
DE	25.10.2016
SE	25.10.2016
DE	25.10.2016
CH	25.10.2016
DE	25.10.2016
NL	25.10.2016
DE	25.10.2016
CZ	25.10.2016
DK	25.10.2016
DE	25.10.2016
DE	25.10.2016
DE	25.10.2016
PL	25.10.2016
PL	25.10.2016
DK	25.10.2016
DE	25.10.2016
DE	25.10.2016
CH	25.10.2016
DE	25.10.2016
DE	25.10.2016
DE	25.10.2016
FI	25.10.2016
NO	25.10.2016
SE	25.10.2016
DE	25.10.2016
SE	25.10.2016
SE	25.10.2016
NO	25.10.2016
DE	25.10.2016
NL	25.10.2016
NL	25.10.2016
DK	25.10.2016
CH	25.10.2016
NL	25.10.2016
DE	25.10.2016
DK	25.10.2016
DE	25.10.2016
ES	25.10.2016
DE	25.10.2016
IE	25.10.2016
DE	25.10.2016
NL	25.10.2016
DE	25.10.2016
DK	25.10.2016
DE	25.10.2016
NL	25.10.2016
IE	25.10.2016
DE	25.10.2016
CH	25.10.2016
DK	25.10.2016
DE	25.10.2016
FI	25.10.2016
DE	25.10.2016
NL	25.10.2016
NL	25.10.2016
SE	25.10.2016
DE	25.10.2016
DE	25.10.2016
DE	25.10.2016
DE	25.10.2016
DE	25.10.2016
DE	25.10.2016
DE	25.10.2016
DE	25.10.2016
NL	25.10.2016
DE	25.10.2016
NL	25.10.2016
DE	25.10.2016
DE	25.10.2016
DE	25.10.2016
DE	25.10.2016
NL	25.10.2016
NO	25.10.2016
DE	25.10.2016
DE	25.10.2016
CH	25.10.2016
CH	25.10.2016
CH	25.10.2016
FR	25.10.2016
FR	25.10.2016
DE	25.10.2016
FR	25.10.2016
FR	25.10.2016
FR	25.10.2016
GR	25.10.2016
GR	25.10.2016
GR	25.10.2016
NL	25.10.2016
IS	25.10.2016
NL	25.10.2016
NL	25.10.2016
GR	25.10.2016
NL	25.10.2016
NL	25.10.2016
NL	25.10.2016
NL	25.10.2016
SE	25.10.2016
NL	25.10.2016
DE	25.10.2016
CH	25.10.2016
SE	25.10.2016
DK	25.10.2016
SE	25.10.2016
NL	25.10.2016
NL	25.10.2016
NL	25.10.2016
DE	25.10.2016
NL	25.10.2016
NL	25.10.2016
NL	25.10.2016
NL	25.10.2016
NL	25.10.2016
ES	25.10.2016
NL	25.10.2016
NL	25.10.2016
DE	25.10.2016
DE	25.10.2016
DK	25.10.2016
IE	25.10.2016
CH	25.10.2016
SE	25.10.2016
IE	25.10.2016
IE	25.10.2016
IE	25.10.2016
SE	25.10.2016
IE	25.10.2016
ES	25.10.2016
CH	25.10.2016
CH	25.10.2016
FR	25.10.2016
AT	25.10.2016
AT	25.10.2016
DE	25.10.2016
ES	25.10.2016
DE	25.10.2016
IE	25.10.2016
DE	25.10.2016
NZ	25.10.2016
NZ	25.10.2016
NZ	25.10.2016
CL	26.10.2016
NZ	26.10.2016
CA	26.10.2016
NZ	26.10.2016
NZ	26.10.2016
AU	26.10.2016
AU	26.10.2016
AU	26.10.2016
AU	26.10.2016
AU	26.10.2016
KR	26.10.2016
KR	26.10.2016
KR	26.10.2016
DE	26.10.2016
DE	26.10.2016
KR	26.10.2016
DE	26.10.2016
DE	26.10.2016
DE	26.10.2016
KR	26.10.2016
DE	26.10.2016
DE	26.10.2016
DE	26.10.2016
AU	26.10.2016
DE	26.10.2016
DE	26.10.2016
DE	26.10.2016
KR	26.10.2016
KR	26.10.2016
DE	26.10.2016
DE	26.10.2016
KR	26.10.2016
DE	26.10.2016
DE	26.10.2016
DE	26.10.2016
KR	26.10.2016
DE	26.10.2016
EE	26.10.2016
KR	26.10.2016
KR	26.10.2016
KR	26.10.2016
DE	26.10.2016
DE	26.10.2016
KR	26.10.2016
DE	26.10.2016
DE	26.10.2016
KR	26.10.2016
FI	26.10.2016
DE	26.10.2016
DE	26.10.2016
CH	26.10.2016
DE	26.10.2016
SE	26.10.2016
DE	26.10.2016
DE	26.10.2016
KR	26.10.2016
SK	26.10.2016
NL	26.10.2016
CH	26.10.2016
BE	26.10.2016
BE	26.10.2016
BE	26.10.2016
DE	26.10.2016
DK	26.10.2016
DE	26.10.2016
CH	26.10.2016
HU	26.10.2016
26.10.2016	
CH	26.10.2016
SE	26.10.2016
DK	26.10.2016
SE	26.10.2016
KR	26.10.2016
DK	26.10.2016
DK	26.10.2016
KR	26.10.2016
KR	26.10.2016
ES	26.10.2016
KR	26.10.2016
ES	26.10.2016
DK	26.10.2016
PL	26.10.2016
KR	26.10.2016
BE	26.10.2016
CH	26.10.2016
KR	26.10.2016
DK	26.10.2016
DE	26.10.2016
KR	26.10.2016
DE	26.10.2016
IE	26.10.2016
KR	26.10.2016
BE	26.10.2016
KR	26.10.2016
DE	26.10.2016
DE	26.10.2016
KR	26.10.2016
DE	26.10.2016
DE	26.10.2016
DE	26.10.2016
DE	26.10.2016
DE	26.10.2016
KR	26.10.2016
DK	26.10.2016
CH	26.10.2016
BE	26.10.2016
KR	26.10.2016
KR	26.10.2016
HU	26.10.2016
HU	26.10.2016
DE	26.10.2016
HU	26.10.2016
FR	26.10.2016
CH	26.10.2016
DE	26.10.2016
DE	26.10.2016
PL	26.10.2016
SE	26.10.2016
DE	26.10.2016
FI	26.10.2016
IE	26.10.2016
HU	26.10.2016
HR	26.10.2016
SK	26.10.2016
CH	26.10.2016
SK	26.10.2016
DE	26.10.2016
BE	26.10.2016
DE	26.10.2016
DE	26.10.2016
CH	26.10.2016
FR	26.10.2016
DE	26.10.2016
NO	26.10.2016
DE	26.10.2016
SE	26.10.2016
CH	26.10.2016
DE	26.10.2016
NL	26.10.2016
NO	26.10.2016
DE	26.10.2016
DE	26.10.2016
DE	26.10.2016
DE	26.10.2016
IT	26.10.2016
DE	26.10.2016
IE	26.10.2016
IE	26.10.2016
SE	26.10.2016
SE	26.10.2016
IL	26.10.2016
ES	26.10.2016
SE	26.10.2016
SE	26.10.2016
CY	26.10.2016
NL	26.10.2016
BE	26.10.2016
CH	26.10.2016
NO	26.10.2016
DE	26.10.2016
SE	26.10.2016
IE	26.10.2016
LB	26.10.2016
NL	26.10.2016
NL	26.10.2016
DE	26.10.2016
DE	26.10.2016
SE	26.10.2016
DE	26.10.2016
DE	26.10.2016
ES	26.10.2016
FI	26.10.2016
SE	26.10.2016
IT	26.10.2016
DE	26.10.2016
DE	26.10.2016
IE	26.10.2016
SE	26.10.2016
DE	26.10.2016
SE	26.10.2016
ES	26.10.2016
CH	26.10.2016
NL	26.10.2016
IE	26.10.2016
NO	26.10.2016
DE	26.10.2016
NL	26.10.2016
ES	26.10.2016
BE	26.10.2016
BE	26.10.2016
BE	26.10.2016
DE	26.10.2016
ES	26.10.2016
BE	26.10.2016
BE	26.10.2016
SE	26.10.2016
BE	26.10.2016
BE	26.10.2016
DE	26.10.2016
CH	26.10.2016
BE	26.10.2016
BE	26.10.2016
BE	26.10.2016
DE	26.10.2016
ES	26.10.2016
BE	26.10.2016
BE	26.10.2016
BE	26.10.2016
BE	26.10.2016
DE	26.10.2016
BE	26.10.2016
SE	26.10.2016
CH	26.10.2016
DE	26.10.2016
SE	26.10.2016
FI	26.10.2016
SE	26.10.2016
DE	26.10.2016
CH	26.10.2016
IT	26.10.2016
DE	26.10.2016
FI	26.10.2016
DE	26.10.2016
NO	26.10.2016
DE	26.10.2016
DE	26.10.2016
DE	26.10.2016
FI	26.10.2016
DE	26.10.2016
BE	26.10.2016
DE	26.10.2016
DK	26.10.2016
SE	26.10.2016
DE	26.10.2016
DE	26.10.2016
DE	26.10.2016
SE	26.10.2016
CH	26.10.2016
CH	26.10.2016
NL	26.10.2016
FR	26.10.2016
IS	26.10.2016
DE	26.10.2016
DE	26.10.2016
DE	26.10.2016
AT	26.10.2016
DE	26.10.2016
DE	26.10.2016
NL	26.10.2016
DE	26.10.2016
NL	26.10.2016
NL	26.10.2016
NL	26.10.2016
DE	26.10.2016
NL	26.10.2016
NL	26.10.2016
SE	26.10.2016
SE	26.10.2016
AT	26.10.2016
AT	26.10.2016
NL	26.10.2016
SE	26.10.2016
SE	26.10.2016
SE	26.10.2016
SE	26.10.2016
SE	26.10.2016
DE	26.10.2016
SE	26.10.2016
SE	26.10.2016
FR	26.10.2016
CZ	26.10.2016
CZ	26.10.2016
CZ	26.10.2016
NL	26.10.2016
NL	26.10.2016
NL	26.10.2016
ES	26.10.2016
DE	26.10.2016
DE	26.10.2016
DE	26.10.2016
AU	27.10.2016
NZ	27.10.2016
NZ	27.10.2016
AU	27.10.2016
AU	27.10.2016
AU	27.10.2016
AU	27.10.2016
DE	27.10.2016
DE	27.10.2016
DE	27.10.2016
DE	27.10.2016
DE	27.10.2016
AT	27.10.2016
AT	27.10.2016
DE	27.10.2016
DE	27.10.2016
SE	27.10.2016
DE	27.10.2016
DK	27.10.2016
SE	27.10.2016
CH	27.10.2016
NO	27.10.2016
KR	27.10.2016
DE	27.10.2016
DE	27.10.2016
CZ	27.10.2016
KR	27.10.2016
SE	27.10.2016
ES	27.10.2016
NL	27.10.2016
HU	27.10.2016
CH	27.10.2016
SE	27.10.2016
CH	27.10.2016
DE	27.10.2016
AT	27.10.2016
DE	27.10.2016
DE	27.10.2016
NL	27.10.2016
NL	27.10.2016
NL	27.10.2016
ES	27.10.2016
BE	27.10.2016
DE	27.10.2016
CY	27.10.2016
LV	27.10.2016
LV	27.10.2016
NL	27.10.2016
DE	27.10.2016
NL	27.10.2016
NO	27.10.2016
DE	27.10.2016
