RCCYzTbbm9jGGdBAcyrpQbnFENICS;acceler entri into slow inactiv;accelerated entry into slow inactivation;accelerated entry into slow inactivation@en-us;Acceler entri into slow inactivation@en-us;r c c yz tbbm9j g gd b acyrp qbn
RBdbOghIxdzmUv1FRMZcqMyFENICS;severe impairment or slowing in fast inactivation (tau inactivation)@en-us;Sever impair or slow in fast inactiv (tau inactivation)@en-us;severe impairment or slowing in fast inactivation (tau inactivation);sever impair or slow in fast inactiv (tau inactivation);r bdb ogh ixdzm uv1 f r m zcq my
RC3aErf3GasgglmgYMcpS4nFENICS;acceleration of recovery from fast inactivation;acceleration of recovery from fast inactivation@en-us;r c3a erf3 gasgglmg y mcp s4n;Acceler of recoveri from fast inactivation@en-us;acceler of recoveri from fast inactiv
R7zJvOsCc8GUzB5y46iKkAMFENICS;r7z jv os cc8 g uz b5y46i kk a m;acceler of recoveri from slow inactiv;Acceler of recoveri from slow inactivation@en-us;acceleration of recovery from slow inactivation;acceleration of recovery from slow inactivation@en-us
RQjP2MguDr8OzKDeceZJ46FENICS;mild-moderate depolarizing shift of voltage dependence of activation (right shift);r qj p2 mgu dr8 oz k dece z j46;mild-moder depolar shift of voltag depend of activ (right shift);Mild-moder depolar shift of voltag depend of activ (right shift)@en-us;mild-moderate depolarizing shift of voltage dependence of activation (right shift)@en-us
RB39ECWMLncqVLZXtTVSuW3FENICS;effect on slope of slow inactivation (k);effect on slope of slow inactiv (k);r b39 e c w m lncq v l z xt t v su w3;Effect on slope of slow inactiv (k)@en-us;effect on slope of slow inactivation (k)@en-us
R9sk2fOWBMQbWVog5qqITs7FENICS;r9sk2f o w b m qb w vog5qq i ts7;Depolar shift of voltag depend of fast inactiv (right shift)@en-us;depolarizing shift of voltage dependence of fast inactivation (right shift);depolar shift of voltag depend of fast inactiv (right shift);depolarizing shift of voltage dependence of fast inactivation (right shift)@en-us
RCkkho6vZp3kuq92L9UxQ7xFENICS;Compon lead to normal ion channel function@en-us;component leading to normal ion channel function@en-us;component leading to normal ion channel function;compon lead to normal ion channel function;r ckkho6v zp3kuq92 l9 ux q7x
RBijWyJfrgnn2shZrQFKwyMFENICS;decrease in peak current;decrease in peak current@en-us;Decreas in peak current@en-us;decreas in peak current;r bij wy jfrgnn2sh zr q f kwy m;r bij wy jfrgnn2sh zr q f kwi m
RgGuZhqK1D3ro0nNhiBoXwFENICS;rg gu zhq k1 d3ro0n nhi bo xw;normal subthreshold current;normal subthreshold current@en-us
